,ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Account age,Is high risk,Income_per_family_member,Is_Employed,Predicted High Risk,Prediction Probability
0,5091261,0,0,1,0,202500.0,2,4,2,1,-16834,-1692,1,0,0,0,-1,1.0,-6.0,0,101250.0,1,0,0.005709729502190383
1,5096963,1,1,0,0,675000.0,0,1,1,1,-18126,-948,1,0,1,0,-1,2.0,-16.0,0,225000.0,1,0,0.01917447429246194
2,5087880,0,0,0,0,234000.0,2,1,0,1,-21967,-5215,1,0,0,1,-1,2.0,-52.0,0,78000.0,1,0,0.006192454374973502
3,5021949,0,1,1,0,445500.0,0,1,1,1,-12477,-456,1,0,0,0,-1,2.0,-54.0,0,148500.0,1,0,0.015523468641138835
4,5105705,0,1,0,0,225000.0,4,4,1,2,-12155,-667,1,0,0,0,0,2.0,-48.0,0,75000.0,1,0,0.039482154898327036
5,5029195,0,0,1,0,94500.0,4,4,1,1,-18131,-617,1,0,0,0,0,2.0,-18.0,0,31500.0,1,0,0.015119401300397626
6,5029213,0,0,1,0,180000.0,1,4,1,1,-22115,365243,1,0,1,0,-1,2.0,-23.0,0,60000.0,1,0,0.010490830527654421
7,5051050,1,1,0,0,67500.0,4,4,1,1,-22407,-2174,1,0,0,0,0,2.0,-9.0,0,22500.0,1,0,0.007581468021751488
8,5061569,0,0,0,0,189000.0,4,4,1,2,-18452,-137,1,0,0,0,0,2.0,-37.0,0,63000.0,1,0,0.03386682586413319
9,5091430,0,0,1,0,225000.0,4,1,1,1,-16202,-2939,1,1,1,0,-1,2.0,-43.0,0,75000.0,1,0,0.01719654262254031
10,5095937,1,0,0,0,157500.0,4,4,1,1,-17340,-3596,1,0,1,0,-1,2.0,-3.0,0,52500.0,1,0,0.003132687595427878
11,5021779,0,0,1,0,292500.0,0,1,0,1,-14522,-1552,1,0,0,0,0,2.0,-8.0,0,97500.0,1,0,0.007694024833404065
12,5052741,0,0,1,0,54000.0,1,4,1,1,-24367,365243,1,0,0,0,-1,2.0,-2.0,0,18000.0,1,0,0.001748929390871976
13,5139986,0,1,1,0,405000.0,4,2,0,1,-12458,-2076,1,1,0,0,-1,2.0,-51.0,0,135000.0,1,0,0.01046356335084044
14,5105263,1,0,1,0,180000.0,4,2,3,1,-10305,-210,1,0,0,1,0,1.0,-4.0,0,90000.0,1,0,0.005823740288591359
15,5091897,0,1,1,0,67500.0,4,4,1,1,-19182,-900,1,0,1,0,-1,2.0,-7.0,0,22500.0,1,0,0.0035032777711788174
16,5125996,0,0,1,0,180000.0,4,4,1,1,-21911,-744,1,1,1,0,-1,2.0,-54.0,0,60000.0,1,0,0.019262158333748572
17,5038825,1,1,0,1,202500.0,4,4,1,1,-9109,-595,1,0,0,1,0,3.0,-26.0,0,50625.0,1,0,0.019088135239239027
18,5023540,0,0,1,0,90000.0,2,4,0,1,-15945,-3673,1,1,1,0,-1,2.0,-32.0,0,30000.0,1,0,0.020922026995833336
19,5023302,0,1,1,1,67500.0,0,4,1,1,-11909,-3553,1,0,0,1,-1,3.0,-8.0,0,16875.0,1,0,0.03519995614813459
20,5116954,0,0,0,0,247500.0,1,1,1,1,-18998,365243,1,0,0,0,-1,2.0,-17.0,0,82500.0,1,0,0.02665632695725807
